symbol,timestamp,type,maturity,strike,underlying,bid,ask
AAPL,1328020230,C,1390021200,330.0,455.25,149.75,152.25
AAPL,1328020230,C,1390021200,340.0,455.25,142.7,145.2
AAPL,1328020230,C,1390021200,430.0,455.25,90.0,90.25
AAPL,1328020230,C,1390021200,590.0,455.25,30.95,32.6
AAPL,1328020230,C,1350705600,550.0,455.25,11.75,11.95
AAPL,1328020230,C,1350705600,510.0,455.25,21.1,21.45
AAPL,1328020230,C,1350705600,540.0,455.25,13.65,14.0
AAPL,1328020230,C,1350705600,490.0,455.25,27.5,28.1
AAPL,1328020230,C,1350705600,500.0,455.25,24.2,24.75
AAPL,1328020230,C,1350705600,560.0,455.25,10.1,10.3
AAPL,1328020230,C,1350705600,570.0,455.25,8.65,8.95
AAPL,1328020230,C,1350705600,265.0,455.25,190.7,194.1
AAPL,1328020230,C,1350705600,235.0,455.25,219.75,223.2
AAPL,1328020230,C,1350705600,225.0,455.25,229.55,233.05
AAPL,1328020230,C,1350705600,545.0,455.25,12.65,13.0
AAPL,1328020230,C,1350705600,505.0,455.25,22.6,23.0
AAPL,1328020230,C,1350705600,515.0,455.25,19.65,20.0
AAPL,1328020230,C,1350705600,495.0,455.25,25.6,26.35
AAPL,1328020230,C,1350705600,485.0,455.25,29.6,29.95
AAPL,1328020230,C,1350705600,275.0,455.25,181.5,184.55
AAPL,1328020230,C,1350705600,270.0,455.25,185.9,189.4
AAPL,1328020230,C,1350705600,230.0,455.25,224.65,228.15
AAPL,1328020230,C,1350705600,240.0,455.25,214.9,218.3
AAPL,1328020230,C,1350705600,210.0,455.25,244.3,247.8
AAPL,1328020230,C,1337400000,340.0,455.25,116.5,117.6
AAPL,1328020230,C,1337400000,335.0,455.25,120.4,123.65
AAPL,1328020230,C,1350705600,220.0,455.25,234.45,237.95
AAPL,1328020230,C,1350705600,195.0,455.25,259.15,262.6
AAPL,1328020230,C,1350705600,200.0,455.25,255.05,257.15
AAPL,1328020230,C,1350705600,575.0,455.25,8.0,8.3
AAPL,1328020230,C,1350705600,565.0,455.25,9.35,9.65
AAPL,1328020230,C,1337400000,330.0,455.25,126.45,127.2
AAPL,1328020230,C,1350705600,555.0,455.25,10.9,11.25
AAPL,1328020230,C,1337400000,470.0,455.25,18.8,19.1
AAPL,1328020230,C,1337400000,465.0,455.25,21.0,21.25
AAPL,1328020230,C,1337400000,430.0,455.25,40.65,41.0
AAPL,1328020230,C,1337400000,425.0,455.25,43.95,44.5
